Namr,Address1,Address2,Address3,Authority,Postcode,UPRN
Swinton Library & Customer Service Centre,Station Street,Swinton,South Yorkshire,Rotherham,S64 8PZ,L00873
Thorpe Hesley Library,Soughall Avenue,Thorpe Hesley,South Yorkshire,Rotherham,S61 2QJ,Z00032 
Thurcroft Library,School Road,Thurcroft,South Yorkshire,Rotherham,S66 9DE,L00635 
Wath Library,Montgomery Square,Wath,South Yorkshire,Rotherham,S63 7RZ,L00867
Wickersley Library,286 Bawtry Road,Wickersley,South Yorkshire,Rotherham,S66 1JJ, Z00042 
Oakham,Catmos Street,Oakham,East Midlands,Rutland,LE15 6HW,10008625592
Uppingham,Queen Street,Uppingham,East Midlands,Rutland,LE15 9QR,100032047313
Ketton,High Street,Ketton,East Midlands,Rutland,PE9 3TE,10023897593
Ryhall,Coppice Road,Ryhall,East Midlands,Rutland,PE9 4HY,100032176621
Swinton Gateway Library,100 Chorley Road ,Swinton ,Greater Manchester,Salford,M27 6BP,10007886565
Clifton Library,"Community Centre, 6 Wynne Avenue",Clifton ,Greater Manchester,Salford,M27 8FU,10070746753
Little Hulton Library,Longshaw Drive,Little Hulton ,Greater Manchester,Salford,M28 0AZ,100012693514
Boothstown Library,"Community Centre, Standfield Drive",Boothstown,Greater Manchester,Salford,M28 1NB,100012888160
Worsley Village,Worsley Road,Worsley ,Greater Manchester,Salford,M28 2PB,10004678608
Walkden Gateway Library,2 Smith Street,Worsley,Greater Manchester,Salford,M28 3EZ,10024417283
Eccles Gateway Library,28 Barton Lane,Eccles ,Greater Manchester,Salford,M30 0TU,100012697094
Winton Library,Old Parrin Lane,Winton ,Greater Manchester,Salford,M30 8BY,100012698418
Cadishead Library,126 Liverpool Road,Cadishead,Greater Manchester,Salford,M44 5AN,100012712791
Irlam Library,"Hurst Fold, Liverpool Road",Irlam,Greater Manchester,Salford,M44 6FD,10004676421
Ordsall Library,"Neighbourhood Office, Robert Hall Street, Ordsall ",Salford,Greater Manchester,Salford,M5 3LT,10090621183
Pendleton Gateway Library,1 Broadwalk,Salford ,Greater Manchester,Salford,M6 5FX,10024417128
Height Library,King Street,Salford ,Greater Manchester,Salford,M6 7GY,100012720083
Hope Library,Eccles Old Road,Salford ,Greater Manchester,Salford,M6 8FH,100012720437
Lower Kersal Library,"Salford Sports Village, Littleton Road ",Salford ,Greater Manchester,Salford,M7 3NQ,10007894004
Bootle,220 Stanley Road,Bootle,Merseyside,Sefton,L20 3EN,41091335
Crosby,Crosby Road North,Liverpool,Merseyside,Sefton,L22 0LQ,41022376
Meadows (Maghull),Hall Lane,Liverpool,Merseyside,Sefton,L31 7BB,41216177
Formby,Duke Street,Formby,Merseyside,Sefton,L37 4AN,41026770
Southport,112 Lord Street,Southport,Merseyside,Sefton,PR8 1DJ,41056316
Hanham,High Street,Hanham,South Gloucestershire ,South Gloucestershire,BS15 3EJ,516048
Kingswood,"Civic Centre, High Street",Kingswood,South Gloucestershire,South Gloucestershire,BS15 9TR,526653
Staple Hill,Broad Street,Staple Hill,South Gloucestershire,South Gloucestershire,BS16 5LS,661174
Downend,Buckingham Gardens,Downend,South Gloucestershire,South Gloucestershire,BS16 5TW,535241
Emersons Green,Emerson Way,Emersons Green,South Gloucestershire,South Gloucestershire,BS16 7AP,648355
Cadbury Heath,School Road,Cadbury Heath,South Gloucestershire,South Gloucestershire,BS30 8EN,540375
Bradley Stoke,Fiddlers Wood Lane,Bradley Stoke,South Gloucestershire,South Gloucestershire,BS32 9BS,642613
Patchway,"Patchway Hub, Rodway Road",Patchway,South Gloucestershire,South Gloucestershire,BS34 5PE,554107
Filton,"The Shield Retail Park, Link Road",Filton,South Gloucestershire,South Gloucestershire,BS34 7BR,506202
Thornbury,St Mary Street,Thornbury,South Gloucestershire,South Gloucestershire,BS35 2AA,570057
Winterbourne,Flaxpits Lane,Winterbourne,South Gloucestershire,South Gloucestershire,BS36 1LA,572783
Yate,44 West Walk,Yate,South Gloucestershire,South Gloucestershire,BS37 4AX,635615
Chipping Sodbury,High Street,Chipping Sodbury,South Gloucestershire,South Gloucestershire,BS37 6AH,664899
Southampton Central Library,Civic Centre,Soton,Hampshire,Southampton,SO14 7LW,10001308610
Shirley,Shirley Precinct,Soton,Hampshire,Southampton,SO15 5LL,10001314862
Lordshill,Lordshill District Centre,Soton,Hampshire,Southampton,SO16 8HY,10001306910
Portswood,Portswood Road,Soton,Hampshire,Southampton,SO17 2NG,100062513434
Bitterne,Bitterne Road East,Soton,Hampshire,Southampton,SO18 5EG,10001306909
Woolston,"Centenary Quay, Victoria Road",Soton,Hampshire,Southampton,SO19 9EF,10090586941
Blue Anchor Library,Market Place,Southwark,Surrey,Southwark,SE16 3UQ,
Brandon Library,Maddock Way,Southwark,Surrey,Southwark,SE17 3NH,
Camberwell Library,48 Camberwell Green,Southwark,Surrey,Southwark,SE5 7AL,
Dulwich Library,368 Lordship Lane,Southwark,Surrey,Southwark,SE22 8NB,
East Street Library,168-170 Old Kent Road,Southwark,Surrey,Southwark,SE1 5TY,
Grove Vale Library,"18-22 Grove Vale, East Dulwich",Southwark,Surrey,Southwark,SE22 8EF,
John Harvard Library,211 Borough High Street,Southwark,Surrey,Southwark,SE1 1JA,
Kingswood Order and Collect Library,"Kingswood House, 31 Seeley Drive",Southwark,Surrey,Southwark,SE21 8QR,
Nunhead Library,Gordon Road,Southwark,Surrey,Southwark,SE15 3RW,
Peckham Library,122 Peckham Hill Street,Southwark,Surrey,Southwark,SE15 5JR,
Rainhill Library,View Road,Rainhill,Merseyside,St. Helens,L35 0LE,
Peter Street Library,Peter Street,St. Helens,Merseyside,St. Helens,WA10 2EQ,
Thatto Heath Library,Thatto Heath Road,Thatto Heath,Merseyside,St. Helens,WA10 3QX,
Eccleston Library,Broadway,Eccleston,Merseyside,St. Helens,WA10 5PJ,
Haydock Library,Church Road,Haydock,Merseyside,St. Helens,WA11 0LY,
Moss Bank Library,Bowness Avenue,Moss Bank,Merseyside,St. Helens,WA11 7EQ,
Rainford Library,Church Road,Rainford,Merseyside,St. Helens,WA11 8HA,
Newton-le-Willows Library,Crow Lane East,Newton,Merseyside,St. Helens,WA12 9TU,
Parr Library,Fleet Lane,Parr,Merseyside,St. Helens,WA9 1SY,
Chester Lane Library,Four Acre Lane,Clock Face,Merseyside,St. Helens,WA9 4DE,
Garswood Library,School Lane,Garswood,Merseyside,St. Helens,WN4 0TT,
Audley Library,Hall Street,Stoke-on-Trent,Staffordshire,Staffordshire,ST7 8DB,100032284551
Barton Under Needwood Library,Dunstall Road,Barton-under-Needwood,Staffordshire,Staffordshire,DE13 8AX,100032002575
Baswich Library,Lynton Avenue,Stafford,Staffordshire,Staffordshire,ST17 0EA,100032203780
Biddulph Library,Tunstall Road,Stoke-on-Trent,Staffordshire,Staffordshire,ST8 6HH,100032221028
Blythe Bridge Library,Uttoxeter Road,Stoke-on-Trent,Staffordshire,Staffordshire,ST11 9JR,200001577371
Brereton Library,Talbot Road,Rugeley,Staffordshire,Staffordshire,WS15 1AU,
Brewood Library,Newport Street,Brewood,Staffordshire,Staffordshire,ST19 9DT,100032206219
Burntwood Library,"Sankeys Corner, Bridge Cross Road",Burntwood,Staffordshire,Staffordshire,WS7 2BX,10013214744
Burton Library,"Riverside, High Street",Burton-upon-Trent,Staffordshire,Staffordshire,DE14 1AH,100032282760
Cannock Library,Manor Avenue,Cannock,Staffordshire,Staffordshire,WS11 1AA,100032222514
Cheadle Library,15a-17 High Street,Stoke-on-Trent,Staffordshire,Staffordshire,ST10 1AA,
Cheslyn Hay Library,"Village Hall, Pinfold Lane",Walsall,Staffordshire,Staffordshire,WS6 7HP,200004525944
Clayton Library,Dartmouth Avenue,Newcastle-under-Lyme,Staffordshire,Staffordshire,ST5 3NR,100032214778
Codsall Library,"SSDC Offices, Wolverhampton Road",Codsall,Staffordshire,Staffordshire,WV8 1PX,200004528153
Eccleshall Library,"20 High Street, Eccleshall",Stafford,Staffordshire,Staffordshire,ST21 6BZ,100032208019
Glascote Library,Caledonian,Tamworth,Staffordshire,Staffordshire,B77 2ED,394036928
Gnosall Library,"Grosvenor Centre, High Street",Stafford,Staffordshire,Staffordshire,ST20 0EX,
Great Wyrley Library,"Unit 22, Quinton Court, Wardles Lane",Walsall,Staffordshire,Staffordshire,WS6 6DY,100032228021
Heath Hayes Library,Hednesford Road,Cannock,Staffordshire,Staffordshire,WS12 3EA,100032224721
Hednesford Library,Market Street,Cannock,Staffordshire,Staffordshire,WS12 1AD,100032224722
Holmcroft Library,Holmcroft Road,Stafford,Staffordshire,Staffordshire,ST16 1JG,100032201571
Kidsgrove Library,"Meadows Road, Kidsgrove",Stoke on Trent,Staffordshire,Staffordshire,ST7 1BS,200004604939
Kinver Library,"Vicarage Drive, Kinver",Stourbridge,Staffordshire,Staffordshire,DY7 6HJ,100032033767
Knutton Library,"St. Mary's CofE Junior School, Church Lane",Knutton,Staffordshire,Staffordshire,ST5 6EB,
Leek Library,"Nicholson Institute, Stockwell Street",Leek,Staffordshire,Staffordshire,ST13 6DW,200001575509
Lichfield Library,"The Guild of St. Mary's Centre, Market Square",Lichfield,Staffordshire,Staffordshire,WS13 6LG,
Loggerheads Library,7 Eccleshall Road,Loggerheads,Staffordshire,Staffordshire,TF9 4NX,100032222188
Newcastle-under -Lyme Library,"Castle House, Barracks Road",Newcastle-under-Lyme,Staffordshire,Staffordshire,ST5 1BL,
Norton Canes Library,"Burntwood Road, Norton Canes",Cannock,Staffordshire,Staffordshire,WS11 9RF,100032223714
Penkridge Library,"Bellbrook, Penkridge",Stafford,Staffordshire,Staffordshire,ST19 5DL,100032205976
Perton Library,"Severn Drive, Perton",Wolverhampton,Staffordshire,Staffordshire,WV6 7QU,100032230725
Rising Brook Library,"Merrey Road, Rising Brook ",Stafford,Staffordshire,Staffordshire,ST17 9LX,100032204672
Rugeley Library,Anson Street,Rugeley,Staffordshire,Staffordshire,WS15 2BB,10008161482
Shenstone Library,"Main Street, Shenstone",Lichfield,Staffordshire,Staffordshire,WS14 0NF,100032225931
Silverdale Library,"High Street, Silverdale",Newcastle-under-Lyme,Staffordshire,Staffordshire,ST5 6LY,200004603413
Stafford Library,"1 Staffordshire Place, Tipping Street ",Stafford,Staffordshire,Staffordshire,ST16 2DH,
Stone Library,High Street,Stone,Staffordshire,Staffordshire,ST15 8AT,200001326363
Talke Library,"Springhead Primary School, Kingsley Road",Stoke-on-Trent,Staffordshire,Staffordshire,ST7 1RA,
Tamworth Library,Corporation Street,Tamworth,Staffordshire,Staffordshire,B79 7DN,394031298
Uttoxeter Library,"Red Gables, 57 High Street",Uttoxeter,Staffordshire,Staffordshire,ST14 7JQ,10010539959
Werrington Library,Ash Bank Road,Stoke-on-Trent,Staffordshire,Staffordshire,ST9 0JS,200001577951
Wilnecote Library,"Wilnecote High School, Tinkers Green Road",Tamworth,Staffordshire,Staffordshire,B77 5LF,394028550
Wombourne Library,"Wombourne Community Centre, Church Road",Wolverhampton,Staffordshire,Staffordshire,WV5 9EZ,
Yarm Library,41 The High Street,Yarm,County Durham,Stockton-on-Tees,TS15 9BH,
Ingleby Barwick Library,Blair Avenue,Ingleby Barwick,County Durham,Stockton-on-Tees,TS17 5BL,
"Thornaby Library, Gilmour Street (Riverbank Children's Centre)",Gilmour Street,Thornaby,County Durham,Stockton-on-Tees,TS17 6PF,
Thornaby Central Library & Customer Service Centre,Wrightson House,Thornaby,County Durham,Stockton-on-Tees,TS17 9EU,
Stockton Central Library & Customer Service Centre,The Square,Stockton-on-Tees,County Durham,Stockton-on-Tees,TS18 1TU,
Fairfield Library,Fairfield Road,Stockton-on-Tees,County Durham,Stockton-on-Tees,TS19 7AJ,
Roseworth Library (Redhill Children's Centre),Redhill Road,Stockton-on-Tees,County Durham,Stockton-on-Tees,TS19 9BX,
Norton Library,87 High Street,Norton,County Durham,Stockton-on-Tees,TS20 1AE,
Ashton Library,"Tameside One, Market Place",Ashton,Greater Manchester,Tameside,OL6 6BH,
Denton,"Town Hall, Market Street",Denton,Greater Manchester,Tameside,M34 2AP,
Droylsden,Manchester Road ,Droylsden,Greater Manchester,Tameside,M43 6EP,
Dukinfield,Concord Way,Dukinfield,Greater Manchester,Tameside,SK16 4DB,
Hattersley,"The Hub, Stockport Road",Hattersley,Greater Manchester,Tameside,SK14 6NT,
Hyde,"Town Hall, Greenfield Street",Hyde,Greater Manchester,Tameside,SK14 1AL,
Mossley,"George Lawton Hall, Stamford Street ",Mossley,Greater Manchester,Tameside,OL5 0HR,
Stalybridge,Trinity Street,Stalybridge,Greater Manchester,Tameside,SK15 2BN,
Old Trafford,"Limelight, 1 St.Brides Way",Old Trafford,Greater Manchester,Trafford,M16 9NW,10070463400
Partington,91 Central Road,Partington,Greater Manchester,Trafford,M31 4FY,100012699158
Stretford,Kingsway,Stretford,Greater Manchester,Trafford,M32 8AP,100012699732
Coppice,Coppice Avenue,Sale,Greater Manchester,Trafford,M33 4ND,10070446007
Sale,Sale Waterside,Sale,Greater Manchester,Trafford,M33 7ZF,10070454619
Urmston,Unit 34 Golden Way,Urmston,Greater Manchester,Trafford,M41 0NA,10070448002
Woodsend,Woodsend Road,Flixton,Greater Manchester,Trafford,M41 8GN,100012711287
Altrincham,2 Pott Street,Altrincham,Greater Manchester,Trafford,WA14 1AH,10070460471
Timperley,405 Stockport Road,Timperley,Greater Manchester,Trafford,WA15 7XR,10070463993
Hale,Ashley Road,Hale,Greater Manchester,Trafford,WA15 9SD,100012801184
Brackley,Manor Road,Brackley,Northamptonshire,West Northamptonshire,NN13 6AJ,100032141407
Brixworth,Spratton Road,Brixworth,Northamptonshire,West Northamptonshire,NN6 9DS,28052572
Deanshanger,Little London,Deanshanger,Northamptonshire,West Northamptonshire,MK19 6HT,10013086892
Duston,Pendle Road,Northampton,Northamptonshire,West Northamptonshire,NN5 6DT,15064730
Hunsbury,Overslade Close,Northampton,Northamptonshire,West Northamptonshire,NN4 0RZ,15079599
Middleton Cheney,Main Road,Middleton Cheney,Northamptonshire,West Northamptonshire,OX17 2PD,100032157012
Northampton Central,Abington Street,Northampton ,Northamptonshire,West Northamptonshire,NN1 2BA,15099349
Weston Favell,Weston Favell Centre,Northampton,Northamptonshire,West Northamptonshire,NN3 8JZ,15119430
Worthing Library,Richmond Road,Worthing,West Sussex,West Sussex,BN11 1HD,44001
Goring Library,Mulberry Lane,Goring-by-Sea,West Sussex,West Sussex,BN12 4NR,74001
Ferring Library,Ferring Street,Ferring,West Sussex,West Sussex,BN12 5HL,50001
Durrington Library,Salvington Road,Durrington,West Sussex,West Sussex,BN13 2JD,68001
Findon Valley Library,Lime Tree Avenue,Findon Valley,West Sussex,West Sussex,BN14 0DH,76001
Broadwater Library,Dominion Road,Broadwater,West Sussex,West Sussex,BN14 8JL,67001
Lancing Library,Penstone Park,Lancing,West Sussex,West Sussex,BN15 9DL,69001
East Preston Library,The Street,East Preston,West Sussex,West Sussex,BN16 1JJ,77001
Rustington Library,Claigmar Road,Rustington,West Sussex,West Sussex,BN16 2NL,71001
Angmering Library,Arundel Road,Angmering,West Sussex,West Sussex,BN16 4JS,47001
Littlehampton Library,Maltravers Road,Littlehampton,West Sussex,West Sussex,BN17 5NA,65001
Arundel Library,Surrey Street,Arundel,West Sussex,West Sussex,BN18 9DT,609001
Southwick Library,Southdown Road,Southwick,West Sussex,West Sussex,BN42 4FT,1099001
Shoreham-by-Sea Library,St. Mary's Road,Shoreham-by-Sea,West Sussex,West Sussex,BN43 5ZA,42001
Steyning Library,Church Street,Steyning,West Sussex,West Sussex,BN44 3YB,56001
Henfield Library,off High Street,Henfield,West Sussex,West Sussex,BN5 9HN,66001
Hassocks Library,"Stafford House, Keymer Road",Hassocks,West Sussex,West Sussex,BN6 8QJ,75001
Hurstpierpoint Library,Trinity Road,Hurstpierpoint,West Sussex,West Sussex,BN6 9UY,144001
Petworth Library,High Street,Petworth,West Sussex,West Sussex,GU28 0AU,1222001
Midhurst Library,"The Grange, Bepton Road",Midhurst,West Sussex,West Sussex,GU29 9HD,59001
Southbourne Library,First Avenue,Southbourne,West Sussex,West Sussex,PO10 8HN,63001
Chichester Library,Tower Street,Chichester,West Sussex,West Sussex,PO19 1QJ,969001
Witterings Library,Oakfield Avenue,East Wittering,West Sussex,West Sussex,PO20 8BT,45001
Selsey Library,School Lane,Selsey,West Sussex,West Sussex,PO20 9EH,78001
Bognor Regis Library,London Road,Bognor Regis,West Sussex,West Sussex,PO21 1DE,48001
Willowhale Library,Pryors Lane,Bognor Regis,West Sussex,West Sussex,PO21 4JF,64001
Crawley Library,Southgate Avenue,Crawley,West Sussex,West Sussex,RH10 6HG,1130001
Broadfield Library,46 Broadfield Barton,Broadfield,West Sussex,West Sussex,RH11 9BA,70001
Horsham Library,Lower Tanbridge Way,Horsham,West Sussex,West Sussex,RH12 1PJ,72001
Southwater Library,"Beeson House, 26 Lintot Square, Fairbank Road ",Southwater,West Sussex,West Sussex,RH13 9LA,43001
Billingshurst Library,Mill Lane,Billingshurst,West Sussex,West Sussex,RH14 9JZ,58001
Burgess Hill Library,15 - 19 The Martlets,Burgess Hill,West Sussex,West Sussex,RH15 9NN,1373001
Haywards Heath Library,34 Boltro Road,Haywards Heath,West Sussex,West Sussex,RH16 1BN,73001
East Grinstead Library,32-40 West Street,East Grinstead,West Sussex,West Sussex,RH19 4SR,49001
Pulborough Library,Brooks Way (off Lower Street),Pulborough,West Sussex,West Sussex,RH20 2BP,61001
Storrington Library,Ryecroft Lane,Storrington,West Sussex,West Sussex,RH20 4PA,62001
Tyldesley,Stanley Street,Tyldesley,Greater Manchester,Wigan,M29 8AE,200002851239
Atherton,York Street ,Atherton,Greater Manchester,Wigan,M46 9JH,100012714157
Golborne,Tanner's Lane,Golborne,Greater Manchester,Wigan,WA3 3AW,100012804664
Wigan,Wigan Life Centre,The Wiend,Greater Manchester,Wigan,WN1 1NH,10091699522
Aspull,Oakfield Crescent,Aspull,Greater Manchester,Wigan,WN2 1XJ,100012814349
Hindley,First Avenue,Hindley,Greater Manchester,Wigan,WN2 3EB,100012814861
Platt Bridge,Rivington Avenue,Platt Bridge,Greater Manchester,Wigan,WN2 5NG,10091699523
Hope Community,"2, The Community Complex, Highfield Grange ",Winstanley,Greater Manchester,Wigan,WN3 6GH,10091699524
Ashton,Wigan Road,Ashton-in-Makerfield,Greater Manchester,Wigan,WN4 9BH,100012816990
Lamberhead Green,"The Dean Trust Wigan, Greenhey",Orrell,Greater Manchester,Wigan,WN5 0DQ,10014066515
Marsh Green,Harrow Road,Marsh Green,Greater Manchester,Wigan,WN5 0QL,100012817122
Standish,Cross Street,Standish,Greater Manchester,Wigan,WN6 0HQ,100012818285
Shevington,Gathurst Lane,Shevington,Greater Manchester,Wigan,WN6 8HA,100012818734
Leigh,Civic Square,Leigh,Greater Manchester,Wigan,WN7 1EB,100012855927
Ascot Durning,High Street,Ascot,Berkshire,Windsor and Maidenhead,SL5 7JF,
Cookham,High Road,Cookham Rise,Berkshire,Windsor and Maidenhead,SL6 9JF,
Cox Green,49 Highfield Lane,Maidenhead,Berkshire,Windsor and Maidenhead,SL6 3AX,
Datchet,"Montagu House, 8 Horton Road",Datchet,Berkshire,Windsor and Maidenhead,SL3 9ER,
Dedworth,"Dedworth School, Smith's Lane",Windsor,Berkshire,Windsor and Maidenhead,SL4 5PE,
Eton Wick,Village Hall,Eton Wick,Berkshire,Windsor and Maidenhead,SL4 6LT,
Maidenhead,St. Ives Road ,Maidenhead,Berkshire,Windsor and Maidenhead,SL6 1QU,
Old Windsor,Straight Road,Windsor,Berkshire,Windsor and Maidenhead,SL4 2RN,
Sunninghill,School Road,Ascot,Berkshire,Windsor and Maidenhead,SL5 7AA,
Windsor,Bachelors Acre,Windsor,Berkshire,Windsor and Maidenhead,SL4 1ER,
Acomb Explore Library,Front Street,Acomb ,North Yorkshire,York,YO24 3BZ,100052211617
Bishopthorpe Library,Main Street,Bishopthorpe,North Yorkshire,York,YO23 2RB,100052162330
Clifton Explore Library,Rawcliffe Lane,York,North Yorkshire,York,YO30 5SJ,100052167876
Copmanthorpe Library,"Village Centre, Main Street",Copmanthorpe,North Yorkshire,York,YO23 3SU,100052162463
Dringhouses Library,Tadcaster Road ,York,North Yorkshire,York,YO24 1LR,100052162628
Dunnington Library,Church Street,Dunnington,North Yorkshire,York,YO19 5PW,10034764899
Fulford Library,"St. Oswald's CE School, Heslington Lane",York,North Yorkshire,York,YO10 4LX,100052147796
Haxby Library,"Oaken Grove Community Centre, Reid Park,",Haxby,North Yorkshire,York,YO32 3QW,100052185247
Huntington Library,Garth Road,York,North Yorkshire,York,YO32 9QJ,200004774522
New Earswick Library,"The Folk Hall, Hawthorn Terrace",New Earswick,North Yorkshire,York,YO32 4AQ,200004758552
Poppleton Library,The Village,Upper Poppleton,North Yorkshire,York,YO26 6JT,100052166815
Strensall Library,19 The Village,Strensall,North Yorkshire,York,YO32 5XS,10007237686
Tang Hall Explore Library,"The Centre @ Burnholme, Mossdale Avenue",York,North Yorkshire,York,YO31 0HA,10093956473
York Explore Library & Archive,Library Square,York,North Yorkshire,York,YO1 7DS,10034765095
Aldbourne Library,South Street,Marlborough,Wiltshire,Wiltshire,SN8 2DW,100121323536
Amesbury Library,Smithfield Street,Amesbury,Wiltshire,Wiltshire,SP4 7AL,100121335291
Box Library,"Selwyn Hall, Valens Terrace",Corsham,Wiltshire,Wiltshire,SN13 8NT,10090512191
Bradford on Avon Library,Bridge Street,Bradford,Wiltshire,Wiltshire,BA15 1BY,100121341481
Calne Community Hub & Library,The Strand,Calne,Wiltshire,Wiltshire,SN11 0JU,10070777995
Chippenham Library,Timber Street,Chippenham,Wiltshire,Wiltshire,SN15 3EJ,10024013044
Corsham Library,"Springfield Community Campus, Beechfield Road",Corsham,Wiltshire,Wiltshire,SN13 9DN,10091712342
Cricklade Library,113 High Street,Swindon,Wiltshire,Wiltshire,SN6 6AE,10070783068
Devizes Community Hub & Library,Sheep Street,Devizes,Wiltshire,Wiltshire,SN10 1DL,100121321670
Downton Library,Church Leat,Salisbury,Wiltshire,Wiltshire,SP5 3PD,10010457102
Durrington Library,75 Bulford Road,Salisbury,Wiltshire,Wiltshire,SP4 8EU,100121335701
Ludgershall Library,"Memorial Hall, Andover Road",Ludgershall,Hants,Wiltshire,SP11 9LZ,100121359262
Lyneham Library,"Memorial Hall, Lyneham",Chippenham,Wiltshire,Wiltshire,SN15 4PR,10090512338
Malmesbury Library,Cross Hayes,Malmesbury,Wiltshire,Wiltshire,SN16 9BG,10014608128
Market Lavington Library,"The Old School, Church Street, Market Lavington",Devizes,Wiltshire,Wiltshire,SN10 4DT,100121322265
Marlborough Library,91 High Street,Marlborough,Wiltshire,Wiltshire,SN8 1HD,100121323195
Melksham Library,Lowbourne,Melksham,Wiltshire,Wiltshire,SN12 7DZ,100121342342
Mere Library,"Barton Lane, Mere",Warminster,Wiltshire,Wiltshire,BA12 6JA,100121330442
Netheravon Library,"High Street, Netheravon", Salisbury,Wiltshire,Wiltshire,SP4 9PJ,100121324604
Pewsey Library,Aston Close,Pewsey,Wiltshire,Wiltshire,SN9 5EQ,100121324165
Purton Library,"1 High Street, Purton",Swindon,Wiltshire,Wiltshire,SN5 4AA,100121329489
Ramsbury Library,"Chapel House, High Street",Marlborough,Wiltshire,Wiltshire,SN8 2QP,100121359578
Royal Wootton Bassett Library,"Borough Fields, Royal Wootton Bassett",Swindon,Wiltshire,Wiltshire,SN4 7AX,100121360617
Salisbury Library,Market Place,Salisbury,Wiltshire,Wiltshire,SP1 1BL,10010452388
Tidworth Library,"Tidworth Leisure Centre, Nadder Road ",Tidworth,Hants,Wiltshire,SP9 7QN,200001178341
Tisbury Library,"Nadder Centre, Weaveland Road",Tisbury,Wiltshire,Wiltshire,SP3 6HJ,10091712342
Trowbridge Library,"Ground Floor, County Hall",Trowbridge,Wiltshire,Wiltshire,BA14 8JN,10091085209
Netherton,Glovers Lane,Liverpool,Merseyside,Sefton,L30 3TL,41226677
Leamington Spa Library & Information Centre,"Royal Pump Rooms, Parade",Leamington Spa,Warwickshire,Warwickshire,CV32 4AA,5361
Lillington Library and Information Centre,Valley Road,Leamington,Warwickshire,Warwickshire,CV32 7SJ,5110
Nuneaton Library and Information Centre,Church Street,Nuneaton,Warwickshire,Warwickshire,CV11 4DR,1161
Polesworth Library and Information Centre,Bridge Street,Tamworth,Warwickshire,Warwickshire,B78 1DT,2168
Rugby Library and Information Centre,Little Elborow Street,Rugby,Warwickshire,Warwickshire,CV21 3BZ,3268
Shipston-on-Stour Library and Information Centre,12 Church Street,Shipston-on-Stour,Warwickshire,Warwickshire,CV36 4AP,4194
Southam Library and Information Centre,"Tithe Place, High Street",Southam,Warwickshire,Warwickshire,CV47 0HB,4180
"Stockingford Nursery School, Children & Family Centre & Library",St. Paul's Road,Nuneaton,Warwickshire,Warwickshire,CV10 8HW,1122
Stratford-upon-Avon Library and Information Centre,Henley Street,Stratford-upon-Avon,Warwickshire,Warwickshire,CV37 6PZ,4234
Warwick Library and Information Centre,"Shire Hall, Market Place",Warwick,Warwickshire,Warwickshire,CV34 4RL,5187
Wellesbourne Library and Information Centre,Kineton Road,Warwick,Warwickshire,Warwickshire,CV35 9NF,4305
Whitnash Civic Centre & Library,Acre Close,Whitnash,Warwickshire,Warwickshire,CV31 2ND,
Wolston Library and Information Centre,Warwick Road,Coventry,West Midlands,Warwickshire,CV8 3GX,3225
Alvechurch Library,Birmingham Road,Alvechurch,Worcestershire,Worcestershire,B48 7TA,10090745995
Bewdley Library,Load Street,Bewdley,Worcestershire,Worcestershire,DY12 2EQ,10003382546
Broadway Library,Leamington Road,Broadway,Worcestershire,Worcestershire,WR12 7DZ,100121280851
Bromsgrove Library,Market Street,Bromsgrove,Worcestershire,Worcestershire,B61 8DA,100121263627
Catshill Community Library,"Catshill Middle School, Meadow Road",Catshill,Worcestershire,Worcestershire,B61 0JW,10000212376
Droitwich Spa Library,Victoria Square,Droitwich,Worcestershire,Worcestershire,WR9 8DQ,100121282801
Evesham Library,Oat Street,Evesham,Worcestershire,Worcestershire,WR11 4PJ,100121278991
Hagley Library,Worcester Road,Hagley,Worcestershire,Worcestershire,DY9 0NW,100121267304
Kidderminster Library,Market Street,Kidderminster,Worcestershire,Worcestershire,DY10 1AB,100121282994
Malvern Library,Graham Road,Malvern,Worcestershire,Worcestershire,WR14 2HU,200001122492
Pershore Library,Church Street,Pershore,Worcestershire,Worcestershire,WR10 1DT,100121277150
Redditch Library,15 Market Place,Redditch,Worcestershire,Worcestershire,B98 8AR,200003628897
Rubery Library,7 Library Way,Rubery,Worcestershire,Worcestershire,B45 9JS,100121262192
Stourport-on-Severn Library,"Civic Centre, New Street",Stourport-on-Severn,Worcestershire,Worcestershire,DY13 8UN,100121348182
Tenbury Wells Library,24 Teme Street,Tenbury Wells,Worcestershire,Worcestershire,WR15 8AA,100121267962
Upton-Upon-Severn Library,School Lane,Upton-upon-Severn,Worcestershire,Worcestershire,WR8 0LE,100121268777
Woodrow Library,25 Local Centre,Studley Road,Worcestershire,Worcestershire,B98 7RY,100121270843
Worcester St. John's Library,Glebe Close,Worcester,Worcestershire,Worcestershire,WR2 5AX,10090441580
Worcester Warndon Library,"The Fairfield Centre, Carnforth Drive",Worcester,Worcestershire,Worcestershire,WR4 9HG,10090442194
"Worcester, The Hive","Sawmill Walk, The Butts",Worcester,Worcestershire,Worcestershire,WR1 3PB,10093052091
Wythall Library,"Woodrush Community Hub, Shawhurst Lane",Birmingham,Worcestershire,Worcestershire,B47 5PD,100121375703
Dawley & Malinslee Community Library,"Dawley House, 22 Burton Street","Dawley, Telford",Shropshire,Telford and Wrekin,TF4 2ES,000452066537
